settlement_id,payment_reference,gross_amount,fee,refund,net_amount,settlement_date,status
SET_9054,RZP_REF_1054,19964.00,359.35,0.00,19604.65,2026-02-25,SETTLED
SET_9055,RZP_REF_1055,2891.00,0.00,0.00,2891.00,2026-01-24,SETTLED
SET_9056,RZP_REF_1056,33358.00,0.00,0.00,33358.00,2026-02-11,SETTLED
SET_9057,RZP_REF_1057,32325.00,581.85,0.00,31743.15,2026-01-08,SETTLED
SET_9058,RZP_REF_1058,41853.00,0.00,0.00,41853.00,2026-02-27,SETTLED
SET_9059,RZP_REF_1059,11743.00,0.00,0.00,11743.00,2026-02-17,SETTLED
SET_9060,RZP_REF_1060,28745.00,0.00,0.00,28745.00,2026-02-25,SETTLED
SET_9061,RZP_REF_1061,5879.00,0.00,0.00,5879.00,2026-01-18,SETTLED
SET_9062,RZP_REF_1062,30655.00,0.00,0.00,30655.00,2026-02-09,SETTLED
SET_9063,RZP_REF_1063,32594.00,0.00,0.00,32594.00,2026-02-24,SETTLED
SET_9064,RZP_REF_1064,14101.00,0.00,0.00,14101.00,2026-01-24,SETTLED
SET_9065,RZP_REF_1065,39269.00,0.00,0.00,39269.00,2026-02-14,SETTLED
SET_9066,RZP_REF_1066,12721.00,0.00,0.00,12721.00,2026-01-07,SETTLED
SET_9067,RZP_REF_1067,36584.00,731.68,0.00,35852.32,2026-02-19,SETTLED
SET_9068,RZP_REF_1068,31401.00,0.00,0.00,31401.00,2026-02-12,SETTLED
SET_9069,RZP_REF_1069,6298.00,125.96,0.00,6172.04,2026-01-22,SETTLED
SET_9070,RZP_REF_1071,36472.00,0.00,0.00,36472.00,2026-02-04,SETTLED
SET_9071,RZP_REF_1073,29936.00,449.04,0.00,29486.96,2026-01-19,SETTLED
SET_9072,RZP_REF_1074,15308.00,306.16,0.00,15001.84,2026-01-09,SETTLED
SET_9073,RZP_REF_1075,6428.00,0.00,0.00,6428.00,2026-02-18,PARTIAL_SETTLED
SET_9074,RZP_REF_1076,41314.25,0.00,0.00,41314.25,2026-02-01,PARTIAL_SETTLED
SET_9075,RZP_REF_1077,12921.00,0.00,0.00,12921.00,2026-01-20,SETTLED
SET_9076,RZP_REF_1078,20009.00,400.18,0.00,19608.82,2026-01-02,SETTLED
SET_9077,RZPREF1079,3182.00,0.00,0.00,3182.00,2026-01-05,SETTLED
SET_9078,RZP_REF_1080,49534.00,0.00,0.00,49534.00,2026-02-01,SETTLED
SET_9079,RZP_REF_1081,18834.00,0.00,0.00,18834.00,2026-02-01,SETTLED
SET_9080,RZP_REF_1082,12282.00,0.00,0.00,12282.00,2026-01-05,SETTLED
SET_9081,RZP_REF_1083,3137.40,0.00,0.00,3137.40,2026-01-27,PARTIAL_SETTLED
SET_9082,RZPREF1084,41451.00,0.00,0.00,41451.00,2026-02-14,SETTLED
SET_9083,RZP_REF_1085,37086.00,0.00,0.00,37086.00,2026-03-04,SETTLED
SET_9084,RZP_REF_1086,6369.60,0.00,0.00,6369.60,2026-02-06,PARTIAL_SETTLED
SET_9085,RZP_REF_1087,34447.00,620.05,0.00,33826.95,2026-01-26,SETTLED
SET_9086,RZP_REF_1088,19687.00,0.00,0.00,19687.00,2026-02-26,SETTLED
SET_9087,RZP_REF_1089,32719.20,0.00,0.00,32719.20,2026-01-05,PARTIAL_SETTLED
SET_9088,RZP_REF_1090,14029.00,0.00,0.00,14029.00,2026-01-17,SETTLED
SET_9089,RZP_REF_1091,11591.00,0.00,0.00,11591.00,2026-02-05,SETTLED
SET_9090,RZP_REF_1092,26972.00,0.00,0.00,26972.00,2026-01-30,SETTLED
SET_9091,RZP_REF_1093,15370.00,0.00,0.00,15370.00,2026-01-20,SETTLED
SET_9092,RZP_REF_1094,45248.00,0.00,0.00,45248.00,2026-01-16,SETTLED
SET_9093,RZP_REF_1095,13164.00,0.00,0.00,13164.00,2026-01-28,SETTLED
SET_9094,RZP_REF_1096,9964.00,0.00,0.00,9964.00,2026-02-28,SETTLED
SET_9095,RZP_REF_1097,4108.00,0.00,0.00,4108.00,2026-01-12,SETTLED
SET_9096,RZP_REF_1098,7514.10,0.00,0.00,7514.10,2026-01-31,PARTIAL_SETTLED
SET_9097,RZP_REF_1099,32998.00,0.00,0.00,32998.00,2026-02-07,SETTLED
SET_9098,RZP_REF_1100,39392.00,0.00,0.00,39392.00,2026-01-04,SETTLED
SET_9099,RZPREF1101,16608.00,0.00,0.00,16608.00,2026-01-03,SETTLED
SET_9100,RZP_REF_1102,37896.00,0.00,0.00,37896.00,2026-02-10,SETTLED
SET_9101,RZP_REF_1103,2836.00,0.00,0.00,2836.00,2026-02-19,SETTLED
SET_9102,RZP_REF_1104,42897.00,0.00,0.00,42897.00,2026-01-31,SETTLED
SET_9103,RZP_REF_1105,28766.00,0.00,0.00,28766.00,2026-02-10,SETTLED
SET_9104,RZP_REF_1106,23003.00,345.05,0.00,22657.95,2026-01-28,SETTLED
SET_9105,RZP_REF_1107,44117.00,0.00,0.00,44117.00,2026-01-08,SETTLED
SET_9106,RZP_REF_1108,45660.00,0.00,0.00,45660.00,2026-02-04,SETTLED
SET_9107,RZP_REF_1109,36251.00,0.00,0.00,36251.00,2026-01-03,SETTLED
SET_9108,RZP_REF_1110,16741.00,301.34,0.00,16439.66,2026-01-22,SETTLED
SET_9109,RZP_REF_1111,26688.00,0.00,0.00,26688.00,2026-02-26,SETTLED
SET_9110,RZP_REF_1112,3752.00,0.00,0.00,3752.00,2026-01-16,SETTLED
SET_9111,RZP_REF_1113,29169.00,0.00,0.00,29169.00,2026-02-18,SETTLED
SET_9112,RZP_REF_1114,36193.00,0.00,0.00,36193.00,2026-01-10,SETTLED
SET_9113,RZP_REF_1115,31966.00,575.39,0.00,31390.61,2026-01-09,SETTLED
SET_9114,RZP_REF_1116,40103.00,0.00,0.00,40103.00,2026-02-22,SETTLED
SET_9115,RZP_REF_1116_DUP,40103.00,0.00,0.00,40103.00,2026-02-22,SETTLED
SET_9116,RZP_REF_1117,9521.10,0.00,0.00,9521.10,2026-01-21,PARTIAL_SETTLED
SET_9117,RZP_REF_1118,14925.00,0.00,0.00,14925.00,2026-02-24,SETTLED
SET_9118,RZP_REF_1119,42648.00,0.00,0.00,42648.00,2026-02-24,SETTLED
SET_9119,RZP_REF_1120,19327.00,0.00,0.00,19327.00,2026-02-03,SETTLED
SET_9120,RZP_REF_1121,31147.00,0.00,0.00,31147.00,2026-01-16,SETTLED
SET_9121,RZP_REF_1122,12691.00,0.00,0.00,12691.00,2026-03-01,SETTLED
SET_9122,RZP_REF_1123,27393.00,0.00,0.00,27393.00,2026-01-23,SETTLED
SET_9123,RZP_REF_1123_DUP,27393.00,0.00,0.00,27393.00,2026-01-23,SETTLED
SET_9124,RZP_REF_1124,18736.00,0.00,0.00,18736.00,2026-02-17,SETTLED
SET_9125,RZP_REF_1125,43449.00,0.00,0.00,43449.00,2026-02-02,SETTLED
SET_9126,RZP_REF_1126,28746.90,0.00,0.00,28746.90,2026-01-24,PARTIAL_SETTLED
SET_9127,RZP_REF_1127,21288.00,425.76,0.00,20862.24,2026-02-26,SETTLED
SET_9128,RZP_REF_1128,15850.00,0.00,0.00,15850.00,2026-02-06,SETTLED
SET_9129,RZP_REF_1129,27120.00,0.00,0.00,27120.00,2026-01-04,SETTLED
SET_9130,RZP_REF_1130,25184.00,503.68,0.00,24680.32,2026-01-26,SETTLED
SET_9131,RZP_REF_1131,2626.00,39.39,0.00,2586.61,2026-01-10,SETTLED
SET_9132,RZP_REF_1132,29055.00,0.00,0.00,29055.00,2026-01-07,SETTLED
SET_9133,RZP_REF_1133,9647.00,0.00,0.00,9647.00,2026-01-27,SETTLED
SET_9134,RZP_REF_1134,17568.00,0.00,0.00,17568.00,2026-01-23,SETTLED
SET_9135,RZP_REF_1134_DUP,17568.00,0.00,0.00,17568.00,2026-01-23,SETTLED
SET_9136,RZP_REF_1135,5463.00,0.00,0.00,5463.00,2026-02-25,SETTLED
SET_9137,RZP_REF_1136,20952.00,0.00,0.00,20952.00,2026-02-10,SETTLED
SET_9138,RZPREF1137,4684.00,0.00,0.00,4684.00,2026-01-17,SETTLED
SET_9139,RZP_REF_1138,6123.00,110.21,0.00,6012.79,2026-01-29,SETTLED
SET_9140,RZP_REF_1139,41733.00,0.00,0.00,41733.00,2026-02-18,SETTLED
SET_9141,RZP_REF_1141,21458.00,0.00,0.00,21458.00,2026-02-21,SETTLED
SET_9142,RZP_REF_1142,19812.00,0.00,0.00,19812.00,2026-01-29,PARTIAL_SETTLED
SET_9143,RZP_REF_1143,27204.00,0.00,0.00,27204.00,2026-02-06,SETTLED
SET_9144,RZP_REF_1144,5375.00,0.00,0.00,5375.00,2026-02-09,SETTLED
SET_9145,RZP_REF_1145,38417.00,0.00,0.00,38417.00,2026-01-11,SETTLED
SET_9146,RZP_REF_1146,16844.00,0.00,0.00,16844.00,2026-01-30,SETTLED
SET_9147,RZP_REF_1147,13335.00,0.00,0.00,13335.00,2026-02-14,PARTIAL_SETTLED
SET_9148,RZP_REF_1148,22846.00,342.69,0.00,22503.31,2026-02-08,SETTLED
SET_9149,RZP_REF_1149,28007.00,0.00,0.00,28007.00,2026-02-15,SETTLED
SET_9150,RZP_REF_1151,15745.00,0.00,0.00,15745.00,2026-01-26,SETTLED
SET_9151,RZP_REF_1152,46027.00,0.00,0.00,46027.00,2026-01-20,SETTLED
SET_9152,RZP_REF_1153,657.00,0.00,0.00,657.00,2026-02-07,PARTIAL_SETTLED
SET_9153,RZP_REF_1154,15281.00,229.22,0.00,15051.78,2026-02-09,SETTLED
SET_9154,RZP_REF_1155,41921.00,628.82,0.00,41292.18,2026-01-14,SETTLED
SET_9155,RZP_REF_1157,6567.00,118.21,0.00,6448.79,2026-02-28,SETTLED
SET_9156,RZP_REF_1158,29089.00,0.00,0.00,29089.00,2026-01-03,SETTLED
SET_9157,RZP_REF_1159,15632.00,0.00,0.00,15632.00,2026-01-22,PARTIAL_SETTLED
SET_9158,RZP_REF_1160,8861.00,0.00,0.00,8861.00,2026-02-21,SETTLED
SET_9159,RZP_REF_1161,17040.00,0.00,0.00,17040.00,2026-03-01,SETTLED
SET_9160,RZP_REF_1162,22398.00,0.00,0.00,22398.00,2026-02-22,SETTLED
SET_9161,RZP_REF_1163,9424.00,188.48,0.00,9235.52,2026-02-19,SETTLED
SET_9162,RZP_REF_1164,47662.00,857.92,0.00,46804.08,2026-02-14,SETTLED
SET_9163,RZP_REF_1165,24171.00,435.08,0.00,23735.92,2026-01-07,SETTLED
SET_9164,RZP_REF_1166,17531.00,315.56,0.00,17215.44,2026-02-05,SETTLED
SET_9165,RZP_REF_1167,24355.00,0.00,0.00,24355.00,2026-02-14,SETTLED
SET_9166,RZP_REF_1168,24544.00,0.00,0.00,24544.00,2026-01-08,SETTLED
SET_9167,RZP_REF_1169,40802.00,0.00,0.00,40802.00,2026-02-28,SETTLED
SET_9168,RZP_REF_1170,4342.00,0.00,0.00,4342.00,2026-02-13,SETTLED
SET_9169,RZP_REF_1171,26958.00,0.00,0.00,26958.00,2026-01-08,SETTLED
SET_9170,RZP_REF_1172,20146.00,0.00,0.00,20146.00,2026-02-02,SETTLED
SET_9171,RZP_REF_1173,31885.20,0.00,0.00,31885.20,2026-01-10,PARTIAL_SETTLED
SET_9172,RZP_REF_1174,44140.00,0.00,0.00,44140.00,2026-03-02,SETTLED
SET_9173,RZP_REF_1175,43120.00,0.00,0.00,43120.00,2026-01-08,SETTLED
SET_9174,RZP_REF_1176,2344.00,0.00,0.00,2344.00,2026-02-14,SETTLED
SET_9175,RZP_REF_1177,29343.00,586.86,0.00,28756.14,2026-03-03,SETTLED
SET_9176,RZP_REF_1178,6711.00,0.00,0.00,6711.00,2026-02-14,SETTLED
SET_9177,RZP_REF_1179,26292.00,525.84,0.00,25766.16,2026-01-20,SETTLED
SET_9178,RZP_REF_1181,42109.00,0.00,0.00,42109.00,2026-02-09,SETTLED
SET_9179,RZP_REF_1182,16162.00,0.00,0.00,16162.00,2026-01-09,SETTLED
SET_9180,RZPREF1183,36520.00,0.00,0.00,36520.00,2026-01-15,SETTLED
SET_9181,RZP_REF_1185,7745.60,0.00,0.00,7745.60,2026-01-10,PARTIAL_SETTLED
SET_9182,RZP_REF_1186,43523.00,0.00,0.00,43523.00,2026-02-25,SETTLED
SET_9183,RZP_REF_1187,23677.00,0.00,0.00,23677.00,2026-02-21,SETTLED
SET_9184,RZP_REF_1188,11619.00,0.00,0.00,11619.00,2026-01-18,SETTLED
SET_9185,RZP_REF_1188_DUP,11619.00,0.00,0.00,11619.00,2026-01-18,SETTLED
SET_9186,RZP_REF_1189,48809.00,0.00,0.00,48809.00,2026-01-27,SETTLED
SET_9187,RZP_REF_1190,29578.00,0.00,0.00,29578.00,2026-02-19,SETTLED
SET_9188,RZP_REF_1191,33219.00,597.94,0.00,32621.06,2026-01-16,SETTLED
SET_9189,RZP_REF_1192,43381.00,650.72,0.00,42730.28,2026-02-04,SETTLED
SET_9190,RZP_REF_1193,42361.00,762.50,0.00,41598.50,2026-01-03,SETTLED
SET_9191,RZP_REF_1195,46887.00,0.00,0.00,46887.00,2026-02-28,SETTLED
SET_9192,RZP_REF_1196,21309.00,0.00,0.00,21309.00,2026-02-09,SETTLED
SET_9193,RZP_REF_1197,18223.00,0.00,0.00,18223.00,2026-02-10,SETTLED
SET_9194,RZP_REF_1198,34970.00,0.00,0.00,34970.00,2026-01-20,SETTLED
SET_9195,RZP_REF_1199,46191.00,0.00,0.00,46191.00,2026-01-09,SETTLED
SET_9196,RZP_REF_1200,13656.60,0.00,0.00,13656.60,2026-01-28,PARTIAL_SETTLED
SET_9197,RZP_REF_1201,27462.00,0.00,0.00,27462.00,2026-02-17,SETTLED
SET_9198,RZP_REF_1202,20681.00,0.00,0.00,20681.00,2026-02-13,SETTLED
SET_9199,RZP_REF_1203,45211.00,0.00,0.00,45211.00,2026-03-03,SETTLED
SET_9200,RZP_REF_1204,5794.00,0.00,0.00,5794.00,2026-01-07,SETTLED
SET_9201,RZP_REF_1204_DUP,5794.00,0.00,0.00,5794.00,2026-01-07,SETTLED
SET_9202,RZPREF1205,48997.00,0.00,0.00,48997.00,2026-02-18,SETTLED
SET_9203,RZP_REF_1206,4130.00,0.00,0.00,4130.00,2026-02-08,SETTLED
SET_9204,RZP_REF_1206_DUP,4130.00,0.00,0.00,4130.00,2026-02-08,SETTLED
SET_9205,RZP_REF_1207,8210.00,0.00,0.00,8210.00,2026-01-28,SETTLED
SET_9206,RZP_REF_1208,3571.00,0.00,0.00,3571.00,2026-01-20,SETTLED
SET_9207,RZPREF1209,38074.00,0.00,0.00,38074.00,2026-02-03,SETTLED
SET_9208,RZP_REF_1210,31800.00,0.00,0.00,31800.00,2026-01-16,SETTLED
SET_9209,RZP_REF_1211,24288.00,0.00,0.00,24288.00,2026-01-10,SETTLED
SET_9210,RZP_REF_1212,36963.00,0.00,0.00,36963.00,2026-02-22,SETTLED
SET_9211,RZP_REF_1213,10219.55,0.00,0.00,10219.55,2026-01-19,PARTIAL_SETTLED
SET_9212,RZP_REF_1214,600.00,12.00,0.00,588.00,2026-01-13,SETTLED
SET_9213,RZP_REF_1215,43279.00,0.00,0.00,43279.00,2026-01-27,SETTLED
SET_9214,RZP_REF_1215_DUP,43279.00,0.00,0.00,43279.00,2026-01-27,SETTLED
SET_9215,RZP_REF_1216,48760.00,0.00,0.00,48760.00,2026-02-12,SETTLED
SET_9216,RZP_REF_1217,34965.00,0.00,0.00,34965.00,2026-01-15,SETTLED
SET_9217,RZP_REF_1218,19159.00,0.00,0.00,19159.00,2026-01-12,PARTIAL_SETTLED
SET_9218,RZP_REF_1219,15020.60,0.00,0.00,15020.60,2026-02-20,PARTIAL_SETTLED
SET_9219,RZP_REF_1220,10516.00,0.00,0.00,10516.00,2026-02-18,SETTLED
SET_9220,RZP_REF_1221,29239.00,0.00,0.00,29239.00,2026-02-13,SETTLED
SET_9221,RZP_REF_1223,49675.00,0.00,0.00,49675.00,2026-02-03,SETTLED
SET_9222,RZP_REF_1224,7467.00,0.00,0.00,7467.00,2026-01-22,SETTLED
SET_9223,RZP_REF_1225,14651.00,0.00,0.00,14651.00,2026-01-26,SETTLED
SET_9224,RZP_REF_1226,19953.00,0.00,0.00,19953.00,2026-03-03,SETTLED
SET_9225,RZP_REF_1226_DUP,19953.00,0.00,0.00,19953.00,2026-03-03,SETTLED
SET_9226,RZP_REF_1227,9193.00,0.00,0.00,9193.00,2026-02-19,SETTLED
SET_9227,RZP_REF_1228,8063.00,145.13,0.00,7917.87,2026-01-02,SETTLED
SET_9228,RZP_REF_1229,28423.00,0.00,0.00,28423.00,2026-01-13,SETTLED
SET_9229,RZP_REF_1231,26222.00,0.00,0.00,26222.00,2026-02-26,SETTLED
SET_9230,RZP_REF_1231_DUP,26222.00,0.00,0.00,26222.00,2026-02-26,SETTLED
SET_9231,RZP_REF_1232,1213.80,0.00,0.00,1213.80,2026-01-31,PARTIAL_SETTLED
SET_9232,RZP_REF_1233,28333.00,0.00,0.00,28333.00,2026-02-07,SETTLED
SET_9233,RZP_REF_1234,6585.80,0.00,0.00,6585.80,2026-01-27,PARTIAL_SETTLED
SET_9234,RZP_REF_1235,40709.00,0.00,0.00,40709.00,2026-01-30,SETTLED
SET_9235,RZP_REF_1236,7137.00,0.00,0.00,7137.00,2026-01-19,SETTLED
SET_9236,RZP_REF_1237,5354.00,0.00,0.00,5354.00,2026-01-27,SETTLED
SET_9237,RZP_REF_1239,33655.00,0.00,0.00,33655.00,2026-02-10,SETTLED
SET_9238,RZPREF1240,23096.00,0.00,0.00,23096.00,2026-01-24,SETTLED
SET_9239,RZP_REF_1241,7837.60,0.00,0.00,7837.60,2026-01-18,PARTIAL_SETTLED
SET_9240,RZP_REF_1242,10218.00,0.00,0.00,10218.00,2026-02-18,SETTLED
SET_9241,RZP_REF_1243,41353.00,0.00,0.00,41353.00,2026-02-02,SETTLED
SET_9242,RZP_REF_1244,37194.00,0.00,0.00,37194.00,2026-02-12,SETTLED
SET_9243,RZP_REF_1245,29020.00,0.00,0.00,29020.00,2026-01-06,SETTLED
SET_9244,RZP_REF_1246,20045.00,0.00,0.00,20045.00,2026-02-21,SETTLED
SET_9245,RZP_REF_1247,23264.00,0.00,0.00,23264.00,2026-02-03,SETTLED
SET_9246,RZP_REF_1248,29816.00,0.00,0.00,29816.00,2026-01-04,SETTLED
SET_9247,RZP_REF_1248_DUP,29816.00,0.00,0.00,29816.00,2026-01-04,SETTLED
SET_9248,RZP_REF_1249,19013.00,0.00,0.00,19013.00,2026-01-06,SETTLED
SET_9249,RZP_REF_1250,38232.00,0.00,0.00,38232.00,2026-02-06,SETTLED
SET_9250,RZP_REF_1251,42918.00,0.00,0.00,42918.00,2026-01-14,SETTLED
SET_9251,RZP_REF_1252,29751.30,0.00,0.00,29751.30,2026-01-11,PARTIAL_SETTLED
SET_9252,RZP_REF_1253,22707.00,0.00,0.00,22707.00,2026-02-16,SETTLED
SET_9253,RZP_REF_1253_DUP,22707.00,0.00,0.00,22707.00,2026-02-16,SETTLED
SET_9254,RZP_REF_1254,42544.00,0.00,0.00,42544.00,2026-01-13,SETTLED
SET_9255,RZP_REF_1254_DUP,42544.00,0.00,0.00,42544.00,2026-01-13,SETTLED
SET_9256,RZP_REF_1256,34458.00,0.00,0.00,34458.00,2026-02-10,SETTLED
SET_9257,RZP_REF_1257,18739.00,337.30,0.00,18401.70,2026-01-26,SETTLED
SET_9258,RZP_REF_1258,19018.75,0.00,0.00,19018.75,2026-02-14,PARTIAL_SETTLED
SET_9259,RZP_REF_1259,21806.00,0.00,0.00,21806.00,2026-01-08,SETTLED
SET_9260,RZP_REF_1260,47630.00,0.00,0.00,47630.00,2026-02-25,SETTLED
SET_9261,RZP_REF_1261,38390.00,0.00,0.00,38390.00,2026-02-13,SETTLED
SET_9262,RZP_REF_1262,43195.00,0.00,0.00,43195.00,2026-02-16,SETTLED
SET_9263,RZP_REF_1263,46654.00,0.00,0.00,46654.00,2026-03-03,SETTLED
SET_9264,RZPREF1264,24886.00,0.00,0.00,24886.00,2026-02-12,SETTLED
SET_9265,RZP_REF_1265,46260.00,0.00,0.00,46260.00,2026-02-24,SETTLED
SET_9266,RZP_REF_1266,20325.20,0.00,0.00,20325.20,2026-01-03,PARTIAL_SETTLED
SET_9267,RZP_REF_1268,15046.00,300.92,0.00,14745.08,2026-01-11,SETTLED
SET_9268,RZP_REF_1269,6828.00,0.00,0.00,6828.00,2026-02-05,SETTLED
SET_9269,RZP_REF_1270,40703.00,0.00,0.00,40703.00,2026-01-09,SETTLED
SET_9270,RZP_REF_1271,12051.00,0.00,0.00,12051.00,2026-02-24,SETTLED
SET_9271,RZP_REF_1272,27126.00,542.52,0.00,26583.48,2026-01-25,SETTLED
SET_9272,RZP_REF_1273,40215.00,0.00,0.00,40215.00,2026-01-19,SETTLED
SET_9273,RZP_REF_1274,15874.00,0.00,0.00,15874.00,2026-01-22,SETTLED
SET_9274,RZP_REF_1275,44653.00,0.00,0.00,44653.00,2026-03-03,SETTLED
SET_9275,RZP_REF_1276,18666.00,0.00,0.00,18666.00,2026-02-20,SETTLED
SET_9276,RZP_REF_1277,27637.00,0.00,0.00,27637.00,2026-01-12,SETTLED
SET_9277,RZP_REF_1278,16584.00,0.00,0.00,16584.00,2026-01-05,SETTLED
SET_9278,RZP_REF_1279,6923.00,124.61,0.00,6798.39,2026-02-16,SETTLED
SET_9279,RZP_REF_1280,5696.00,113.92,0.00,5582.08,2026-02-21,SETTLED
SET_9280,RZP_REF_1281,33843.00,0.00,0.00,33843.00,2026-01-10,SETTLED
SET_9281,RZP_REF_1282,29765.00,0.00,0.00,29765.00,2026-02-26,SETTLED
SET_9282,RZP_REF_1283,3690.00,55.35,0.00,3634.65,2026-01-27,SETTLED
SET_9283,RZP_REF_1284,25507.00,0.00,0.00,25507.00,2026-01-08,SETTLED
SET_9284,RZP_REF_1285,21085.00,379.53,0.00,20705.47,2026-03-02,SETTLED
SET_9285,RZP_REF_1286,42795.00,855.90,0.00,41939.10,2026-01-23,SETTLED
SET_9286,RZP_REF_1287,2710.00,0.00,0.00,2710.00,2026-01-21,SETTLED
SET_9287,RZP_REF_1288,46438.00,0.00,0.00,46438.00,2026-01-31,SETTLED
SET_9288,RZP_REF_1289,1445.00,28.90,0.00,1416.10,2026-01-18,SETTLED
SET_9289,RZP_REF_1290,36166.00,0.00,0.00,36166.00,2026-03-03,SETTLED
SET_9290,RZP_REF_1291,19081.00,0.00,0.00,19081.00,2026-01-16,SETTLED
SET_9291,RZP_REF_1292,15826.00,0.00,0.00,15826.00,2026-01-27,SETTLED
